Count of ClientID,,Sum of AccountBalance,,Sum of AnnualIncome,,Average of AnnualIncome, ,Average of CreditScore,,,,,
"100,000",," ₹ 1,948,433,875 ",," ₹ 4,846,818,320 ", ," ₹ 48,468 ",,620,,,,,
,,₹ 194.84 Cr,,₹ 484.68 Cr,, ,,,,, ,,
,,,,,,,,,,,,,
Row Labels,Count of ClientID,,Row Labels,Count of ClientID,,Average of AvgTransactionValue,,Sum of InvestmentPortfolioValue,,,,,
No,24621, ,No,69979,, ₹ 39.44 ,," ₹ 3,410,877,140 ",,,,,
Yes,"75,379",,Yes,30021,,,,₹ 341.09 Cr,,,,,
,,,,,, ,,,,,,,
Sum of TermDepositSubscribed,,Deposit Conversation Rate,,Average of AccountBalance,,,,,,,,,
"30,021",,30.02%,," ₹ 19,484.34 ",,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Customer Distribution by Region,,, Gender Distribution,,,Age Group Distribution,,,,Customer Segment,,,
Row Labels,Count of ClientID,,Row Labels,Count of ClientID,,Row Labels,Count of ClientID,,,Row Labels,Count of ClientID,,
South,"20,069",,Male,"51,781",,18-24,"9,113",,,Mass,"45,035",,
West,"17,998",,Female,"48,219",,55+,"12,236",,,Standard,"34,895",,
North,"17,796",,,,,25-34,"21,770",,,Premium,"17,071",,
East,"15,979",,,,,45-54,"24,711",,,Private,"2,999",,
Metro,"14,176",,,,,35-44,"32,170",,,,,,
Central,"13,982",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Average Account Balance by Region,,,Average Annual Income by Job Title,,,,Credit Score Category,,,,,,
Row Labels,Average of AccountBalance,,Row Labels,Average of AnnualIncome,,,Row Labels,Count of ClientID,,,,,
East,"17,570",,Management,"101,995",, ,Poor,"68,224",,,,,
Central,"18,250",,Entrepreneur,"79,609",,,Fair,"21,836",,,,,
North,"18,708",,Self-employed,"71,860",,,Good,"8,074",,,,,
South,"19,491",,Admin,"59,248",,,Excellent,"1,866",,,,,
West,"20,302",,Technician,"52,241",,,,,,,,,
Metro,"22,787",,Services,"38,809",,,,,,,,,
,,,Blue-collar,"30,537",,,,,,,,,
,,,Retired,"26,225",,,,,,,,,
,,,Unemployed,"19,407",,,,,,,,,
,,,Student,"14,222",,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Risk Rating,,,Credit Card Holder,,,,,,,Channel Preference,,,
Row Labels,Count of ClientID,,Row Labels,Count of ClientID,,Mortgage,"26,461",,,Row Labels,Count of ClientID,,
High,"49,529",,Yes,"75,379",,Personal Loan,"23,122",,,Digital,"50,123",,
Medium,"47,751",,No,"24,621",,,,,,Hybrid,"30,043",, 
Low,"2,720",,,,,,,,,Branch,"19,834",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Marketing Campaign,,,Deposit Subscription,,,Deposit by Region,,,,,,,
Row Labels,Count of ClientID,,Row Labels,Count of ClientID,,Count of ClientID,Column Labels,,,,,,
Jan,"8,416",,No,"69,979",,Row Labels,No,Yes,,,,,
Feb,"8,425",,Yes,"30,021",,Central,"9,901","4,081",,,,,
Mar,"8,194",,,,,East,"11,289","4,690",,,,,
Apr,"8,345",,,,,Metro,"9,665","4,511",,,,,
May,"8,433",,,,,North,"12,618","5,178",,,,,
Jun,"8,442",,,,,South,"13,983","6,086",,,,,
Jul,"8,297",,,,,West,"12,523","5,475",,,,,
Aug,"8,088",,,,,,,,,,,,
Sep,"8,335",,,,,,,,,,,,
Oct,"8,341",,,,,,,,,,,,
Nov,"8,325",,,,,,,,,,,,
Dec,"8,359",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,, ,,,,,,
